Employee_ID,Name,Age,City,Department,Education,Employment_Type,Experience_Years,Annual_Salary,Join_Date,Product,Category,Quantity,Unit_Price,Total_Sales,Order_Status,Performance_Score
E001,Person_001,58,Melbourne,Sales,Bachelor,Casual,0,59592,2026-07-09,Keyboard,Accessories,2,621,1242,Returned,51.6
E002,Person_002,23,Hobart,Data Science,Diploma,Casual,5,73657,2026-05-10,Headphones,Electronics,5,864,4320,Cancelled,90.5
E003,Person_003,18,Perth,IT,PhD,Full-time,0,144458,2026-06-28,Mouse,Computing,3,686,2058,Completed,69.0
E004,Person_004,40,Melbourne,Finance,Bachelor,Casual,19,90082,2026-03-09,Phone,Electronics,4,2246,8984,Cancelled,91.5
E005,Person_005,57,Adelaide,Engineering,Master,Full-time,18,92400,2026-02-19,Tablet,Electronics,1,983,983,Returned,63.9
E006,Person_006,58,Brisbane,HR,Master,Full-time,5,92819,2026-04-05,Keyboard,Accessories,3,342,1026,Returned,69.0
E007,Person_007,58,Sydney,IT,PhD,Part-time,17,135198,2026-02-26,Tablet,Computing,1,988,988,Cancelled,53.3
E008,Person_008,54,Brisbane,Marketing,Master,Full-time,10,139098,2026-02-24,Tablet,Mobile,4,1929,7716,Cancelled,87.4
E009,Person_009,45,Melbourne,IT,Bachelor,Full-time,12,121484,2026-04-03,Monitor,Accessories,5,2071,10355,Pending,81.4
E010,Person_010,45,Sydney,Sales,Bachelor,Casual,2,123172,2026-04-09,Mouse,Mobile,5,1079,5395,Cancelled,88.4
E011,Person_011,39,Brisbane,HR,Bachelor,Casual,9,59621,2026-04-22,Monitor,Mobile,1,1128,1128,Cancelled,92.1
E012,Person_012,50,Sydney,HR,PhD,Part-time,6,124818,2026-02-09,Keyboard,Accessories,5,2222,11110,Completed,55.6
E013,Person_013,41,Melbourne,IT,Master,Full-time,7,85306,2026-01-15,Monitor,Electronics,1,2040,2040,Returned,97.3
E014,Person_014,28,Perth,Sales,PhD,Part-time,10,79741,2026-08-12,Headphones,Mobile,2,2258,4516,Cancelled,71.9
E015,Person_015,51,Perth,HR,Master,Full-time,3,104177,2026-03-05,Monitor,Electronics,3,136,408,Completed,85.4
E016,Person_016,21,Perth,Marketing,Diploma,Full-time,2,75007,2026-08-20,Laptop,Computing,1,2155,2155,Pending,86.2
E017,Person_017,54,Melbourne,Engineering,Diploma,Part-time,15,120525,2026-03-04,Phone,Mobile,4,829,3316,Returned,70.6
E018,Person_018,21,Melbourne,Data Science,Master,Full-time,3,133259,2026-06-15,Laptop,Electronics,4,1439,5756,Returned,57.0
E019,Person_019,29,Melbourne,Engineering,Bachelor,Full-time,11,81509,2026-03-05,Phone,Electronics,4,2304,9216,Pending,58.3
E020,Person_020,49,Sydney,Finance,PhD,Part-time,6,108092,2026-08-10,Mouse,Electronics,2,1602,3204,Cancelled,71.2
E021,Person_021,53,Sydney,Sales,PhD,Full-time,15,131752,2026-02-09,Monitor,Computing,2,289,578,Completed,79.2
E022,Person_022,50,Melbourne,Sales,Master,Part-time,5,114615,2026-01-15,Headphones,Electronics,2,330,660,Completed,97.1
E023,Person_023,54,Canberra,Marketing,Master,Casual,18,77271,2026-06-02,Laptop,Electronics,4,2440,9760,Cancelled,61.9
E024,Person_024,43,Darwin,HR,Bachelor,Full-time,20,62154,2026-03-18,Mouse,Computing,1,88,88,Pending,75.3
