member_id,name,age,plan,gym,join_date,monthly_fee,visits_last_month,active,cancel_date
M619,Ben Blake,49,premium,PARRAMATTA,2022-01-21,$89.00,7,No,2023-03-20
M517,Olive Costa,31,PREMIUM,PARRAMATTA,05-Nov-2024,$89.00,--,No,2026-05-10
M656,Dev Barnes,35,STANDARD,bondi,06-Aug-2024,$59.00,11,Yes,
M521,Ryan Nguyen,36,standard,parramatta,2025-05-02,$59.00,21,Yes,
M556,Aisha Ford,43,basic,Parramatta,2022-05-16,$39.00,0,Yes,
M543,Ryan OBrien,25,PREMIUM,bondi,04-Nov-2022,$89.00,9,Yes,
M608,Mia Mehta,31,basic ,parramatta,2023-09-09,$39.00,9,Yes,
M553,Ella Ford,38,Std,parramatta,2023-06-26,$59.00,12,Yes,
M630,Chloe OBrien,31,standard,Parramatta,2024-06-27,$59.00,14,no,
M620,Chloe Shah,21,?,bondi,2024-01-30,$59.00,2,yes,2024-08-07
M546,Ella Nguyen,33,Std,newtown,2025-01-21,$59.00,7,Yes,
M649,Tom Walsh,27,basic ,newtown,2022-11-08,,14,No,2023-02-20
M627,Pia Ford,24,premium,CHATSWOOD,?,$89.00,5,Y,
M526,Kavya Shah,29,basic ,Newtown,2022-07-23,$39.00,9,Yes,
M539,Leo Ford,?,STANDARD,newtown,2022-07-01,$59.00,18,No,2023-07-17
M595,Olive Mehta,31,standard,BONDI,2023-09-17,$59.00,7,No,2024-06-06
M563,Dev Reid,25,standard,newtown,2024-02-08,$59.00,18,Yes,
M540,Olive Costa,18,standard,Newtown,2023-12-21,$59.00,17,FALSE,
M636,Ella Reid,22,basic,Chatswood,2023-10-14,$39.00,7,Yes,
M528,Ben Ford,19,standard,newtown,2024-05-30,$59.00,2,TRUE,
M626,Grace Reid,19,basic,chatswood,11-Jun-2022,$39.00,5,Y,
M554,Finn Reid,44,standard,Chatswood,2022-12-06,$59.00,--,No,2023-10-02
M521,Ryan Nguyen,36,standard,parramatta,2025-05-02,,--,Yes,
M525,Ella Walsh,30,Premium,Bondi,2023-03-05,$89.00,7,No,2024-09-26
M551,Ryan Reid,47,standard,BONDI,2022-09-06,$59.00,9,Yes,
M542,Chloe Ford,31,BASIC,Chatswood,2023-08-05,$39.00,5,yes,
M577,Ryan Barnes,41,Standard,bondi,2022-01-28,$59.00,12,Yes,
M623,Ben Walsh,49,basic,newtown,2024-08-12,$39.00,14,Yes,
M604,Grace Shah,37,basic,Chatswood,2025-06-15,$39.00,7,No,2026-01-27
M523,Finn Walsh,25,basic,chatswood,2023-04-08,$39.00,15,Yes,
M571,Olive Nguyen,25,Premium,newtown,2023-05-10,$89.00,11,Yes,
M501,Quinn Walsh,34,Standard,newtown,2025-06-27,$59.00,9,Yes,
M622,Ben Walsh,35,standard,chatswood,03/05/2024,,-5,TRUE,
M652,Grace Shah,24,standard,Newtown,11/08/2022,$59.00,8,Yes,
M538,Iris Mehta,26,STANDARD,parramatta,2024-01-14,$59.00,7,Yes,
M550,Nikhil Nguyen,38,premium,parramatta,04-Dec-2023,$89.00,11,No,2024-06-11
M588,Leo Walsh,21,?,parramatta,04/06/2023,$39.00,6,FALSE,
M657,Jack Shah,27,Std,chatswood,?,,--,yes,
M583,Tom Barnes,55,standard,newtown,22/12/2022,$59.00,15,Yes,
M650,Nikhil Walsh,37,basic,bondi,2025-05-14,$39.00,13,no,
M561,Jack Mehta,36,STANDARD,chatswood,2025-02-20,$59.00,3,Yes,
M634,Leo Nguyen,19,basic,chatswood,2023-11-21,$39.00,10,Yes,
M557,Tom Blake,27,basic,parramatta,19-Oct-2023,$39.00,6,Yes,
M579,Aisha Costa,29,premium,chatswood,08-Sep-2024,$89.00,17,No,2025-04-11
M548,Tom Nguyen,34,?,newtown ,2024-08-16,$89.00,6,no,
M562,Jack Mehta,32,standard,newtown ,17/02/2024,$59.00,5,Y,
M512,Leo OBrien,?,standard,PARRAMATTA,02-Jan-2022,$59.00,3,Yes,
M628,Ella Walsh,30,STANDARD,chatswood,2025-07-22,$59.00,13,no,2027-04-18
M566,Iris Barnes,26,premium,parramatta,2025-07-11,$89.00,7,Yes,
M587,Tom Mehta,20,standard,parramatta,2024-09-13,,7,FALSE,2024-12-20
M592,Finn Barnes,36,premium,bondi,2025-01-14,$89.00,2,FALSE,
M519,Ben Ford,37,BASIC,newtown,03/01/2025,$39.00,3,TRUE,
M639,Finn Barnes,34,standard,chatswood,2024-10-26,$59.00,5,N,
M596,Aisha Blake,28,PREMIUM,chatswood,03/04/2022,$89.00,10,Yes,
M588,Leo Walsh,21,?,parramatta,04/06/2023,$39.00,6,FALSE,
M611,Aisha Mehta,21,standard,newtown,2025-07-23,$59.00,4,Yes,
M506,Olive Barnes,20,basic,bondi,02-Jan-2025,$39.00,5,No,2026-05-01
M638,Mia Blake,27,basic,parramatta,2023-04-12,,11,Yes,
M515,Nikhil Costa,37,STANDARD,bondi,2024-06-27,$59.00,0,no,
M601,Leo OBrien,41,premium,chatswood,2022-10-27,$89.00,0,No,2023-02-07
M510,Finn Barnes,22,standard,bondi,2022-10-23,$59.00,--,Yes,
M593,Chloe Reid,24,premium,bondi,25-Jan-2022,,--,TRUE,
M584,Grace Walsh,42,Prem,bondi,2024-09-14,$89.00,8,Yes,
M651,Sara Shah,21,standard,PARRAMATTA,07-May-2023,$59.00,16,yes,
M536,Iris OBrien,27,standard,NEWTOWN,16/01/2022,$59.00,6,Yes,
M504,Grace Ford,19,standard,newtown,2023-01-02,$59.00,17,FALSE,2023-12-06
M574,Olive Nguyen,999,STANDARD,bondi,10/08/2024,$59.00,2,Yes,
M615,Finn Mehta,40,standard,PARRAMATTA,2022-07-25,$59.00,--,Yes,
